,bedrooms_small,bedrooms_medium,bedrooms_large,view,grade_1.0,grade_3.0,grade_2.0,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,price,kiez_981.0,kiez_980.0
39,0.0,1.0,0.0,0,0.0,1.0,0.0,2620,0,47.5301,-122.18,2620,11884,605000,0.0,1.0
40,0.0,1.0,0.0,0,0.0,0.0,1.0,2570,0,47.6145,-122.027,2470,5669,625000,0.0,1.0
41,0.0,1.0,0.0,0,0.0,1.0,0.0,2600,1620,47.445,-122.34700000000001,2410,30617,775000,1.0,0.0
42,0.0,1.0,0.0,0,0.0,0.0,1.0,3595,0,47.6848,-122.016,3625,5639,861990,0.0,1.0
43,1.0,0.0,0.0,0,1.0,0.0,0.0,1570,0,47.6413,-122.36399999999999,1580,2640,685000,1.0,0.0
44,1.0,0.0,0.0,0,1.0,0.0,0.0,920,360,47.4485,-122.175,1340,8808,309000,0.0,1.0
45,1.0,0.0,0.0,0,0.0,1.0,0.0,3160,0,47.7443,-121.977,3050,9232,488000,0.0,1.0
46,1.0,0.0,0.0,0,1.0,0.0,0.0,990,0,47.3066,-122.37100000000001,1228,8840,210490,0.0,1.0
47,0.0,1.0,0.0,0,0.0,0.0,1.0,2290,0,47.6194,-122.15100000000001,2680,13685,785000,0.0,1.0
48,1.0,0.0,0.0,0,1.0,0.0,0.0,1250,0,47.6796,-122.301,970,5100,450000,1.0,0.0
49,1.0,0.0,0.0,2,0.0,0.0,1.0,2165,588,47.4041,-122.45100000000001,2680,72513,1350000,0.0,1.0
50,1.0,0.0,0.0,0,1.0,0.0,0.0,1190,0,47.4258,-122.322,1190,9364,228000,1.0,0.0
51,0.0,1.0,0.0,0,0.0,1.0,0.0,1640,1510,47.4934,-122.189,1990,9133,345000,0.0,1.0
52,1.0,0.0,0.0,0,1.0,0.0,0.0,1000,410,47.6808,-122.384,1410,4080,600000,1.0,0.0
53,1.0,0.0,0.0,0,1.0,0.0,0.0,990,990,47.6989,-122.369,1480,6738,585000,1.0,0.0
54,0.0,1.0,0.0,0,0.0,1.0,0.0,2130,600,47.6571,-122.281,2730,6000,920000,1.0,0.0
55,0.0,1.0,0.0,0,0.0,0.0,1.0,2830,0,47.6597,-122.29,1950,5000,885000,1.0,0.0
56,0.0,1.0,0.0,0,1.0,0.0,0.0,2250,0,47.3663,-122.11399999999999,2250,4500,292500,0.0,1.0
57,1.0,0.0,0.0,0,0.0,1.0,0.0,2420,0,47.3663,-122.12200000000001,2690,4750,301000,0.0,1.0
58,0.0,1.0,0.0,4,0.0,1.0,0.0,3250,0,47.588,-122.116,2960,11044,951000,0.0,1.0
59,0.0,1.0,0.0,0,0.0,1.0,0.0,1850,0,47.5059,-122.149,2270,8542,430000,0.0,1.0
60,1.0,0.0,0.0,3,0.0,1.0,0.0,1590,560,47.4336,-122.339,2570,18900,650000,1.0,0.0
61,1.0,0.0,0.0,0,1.0,0.0,0.0,1260,0,47.4366,-122.335,1290,8750,289000,1.0,0.0
62,1.0,0.0,0.0,0,0.0,1.0,0.0,2519,0,47.4428,-122.344,2500,9500,505000,1.0,0.0
63,1.0,0.0,0.0,0,0.0,1.0,0.0,1540,0,47.6765,-122.32,1580,3090,549000,1.0,0.0
64,1.0,0.0,0.0,0,1.0,0.0,0.0,1110,550,47.6113,-122.29700000000001,1440,4080,425000,1.0,0.0
65,1.0,0.0,0.0,0,1.0,0.0,0.0,1770,1000,47.5747,-122.304,1440,4000,317625,1.0,0.0
66,0.0,1.0,0.0,0,0.0,0.0,1.0,2720,0,47.5815,-122.19200000000001,2750,11049,975000,0.0,1.0
67,0.0,1.0,0.0,0,1.0,0.0,0.0,2240,0,47.3378,-122.257,2221,4557,287000,0.0,1.0
68,1.0,0.0,0.0,0,1.0,0.0,0.0,1000,0,47.3621,-122.11,1010,12635,204000,0.0,1.0
69,0.0,1.0,0.0,0,0.0,1.0,0.0,1600,1600,47.6303,-122.215,3390,20158,1330000,0.0,1.0
70,0.0,1.0,0.0,0,0.0,1.0,0.0,3070,1700,47.6525,-122.16,3530,38917,1040000,0.0,1.0
71,1.0,0.0,0.0,0,1.0,0.0,0.0,1260,0,47.7362,-122.179,1640,4745,325000,0.0,1.0
72,0.0,1.0,0.0,0,1.0,0.0,0.0,2250,500,47.7168,-122.287,1510,7807,571000,1.0,0.0
73,0.0,1.0,0.0,0,0.0,1.0,0.0,2380,0,47.3608,-122.036,2420,5000,360000,0.0,1.0
74,1.0,0.0,0.0,0,1.0,0.0,0.0,1090,700,47.3511,-122.073,1940,50529,349000,0.0,1.0
75,0.0,1.0,0.0,0,0.0,0.0,1.0,2390,1040,47.5822,-121.98700000000001,3240,35020,832500,0.0,1.0
76,0.0,1.0,0.0,0,1.0,0.0,0.0,880,880,47.6034,-122.125,1680,7500,380000,0.0,1.0
77,1.0,0.0,0.0,0,1.0,0.0,0.0,1040,0,47.5636,-122.39399999999999,890,5060,480000,1.0,0.0
78,1.0,0.0,0.0,0,1.0,0.0,0.0,910,500,47.7073,-122.34,1130,5693,410000,1.0,0.0
79,0.0,1.0,0.0,0,0.0,0.0,1.0,3450,0,47.342,-122.025,3350,39750,720000,0.0,1.0
80,1.0,0.0,0.0,0,0.0,1.0,0.0,2350,0,47.3512,-122.008,2350,5363,390000,0.0,1.0
81,0.0,1.0,0.0,0,1.0,0.0,0.0,1900,0,47.349,-122.031,1870,6405,360000,0.0,1.0
82,1.0,0.0,0.0,0,1.0,0.0,0.0,1010,1010,47.5474,-122.291,1720,6720,355000,1.0,0.0
83,1.0,0.0,0.0,0,0.0,1.0,0.0,1680,0,47.4811,-122.149,1850,8797,356000,0.0,1.0
84,1.0,0.0,0.0,0,1.0,0.0,0.0,960,0,47.7264,-122.31,1570,7203,315000,1.0,0.0
85,1.0,0.0,0.0,0,0.0,0.0,1.0,1900,240,47.6337,-122.365,2020,4800,940000,1.0,0.0
86,0.0,1.0,0.0,0,1.0,0.0,0.0,2660,0,47.2909,-122.189,1590,8165,305000,0.0,1.0
87,1.0,0.0,0.0,0,0.0,0.0,1.0,1980,790,47.5228,-122.199,1900,7349,461000,0.0,1.0
88,1.0,0.0,0.0,0,1.0,0.0,0.0,1610,0,47.518,-122.194,1950,2025,215000,0.0,1.0
89,1.0,0.0,0.0,0,1.0,0.0,0.0,765,265,47.5394,-122.387,1030,1106,335000,1.0,0.0
90,0.0,1.0,0.0,0,1.0,0.0,0.0,1980,0,47.2897,-122.37200000000001,1980,7510,243500,0.0,1.0
91,0.0,1.0,0.0,0,0.0,0.0,1.0,3520,0,47.6506,-122.391,2520,6250,1100000,1.0,0.0
92,1.0,0.0,0.0,0,1.0,0.0,0.0,1200,0,47.321999999999996,-122.351,1350,10500,153000,0.0,1.0
93,1.0,0.0,0.0,0,0.0,1.0,0.0,1290,290,47.687,-122.38600000000001,1570,4500,430000,1.0,0.0
94,1.0,0.0,0.0,0,0.0,1.0,0.0,1290,290,47.687,-122.38600000000001,1570,4500,700000,1.0,0.0
95,0.0,1.0,0.0,0,1.0,0.0,0.0,2390,910,47.5873,-122.249,1950,6045,905000,0.0,1.0
96,1.0,0.0,0.0,0,1.0,0.0,0.0,1960,0,47.3576,-122.277,1750,15616,247500,0.0,1.0
97,0.0,1.0,0.0,0,1.0,0.0,0.0,1160,0,47.3036,-122.37799999999999,1160,6400,199000,0.0,1.0
98,1.0,0.0,0.0,0,1.0,0.0,0.0,1210,600,47.4109,-121.958,1650,135036,314000,0.0,1.0
99,1.0,0.0,0.0,2,0.0,0.0,1.0,2320,0,47.4838,-121.714,2550,35065,437500,0.0,1.0
100,1.0,0.0,0.0,0,0.0,0.0,1.0,1270,800,47.6415,-122.315,2200,4500,850830,1.0,0.0
101,1.0,0.0,0.0,0,1.0,0.0,0.0,1440,540,47.6775,-122.37200000000001,1610,3478,555000,1.0,0.0
102,1.0,0.0,0.0,0,0.0,1.0,0.0,2190,0,47.7731,-122.08,2570,47777,699950,0.0,1.0
103,1.0,0.0,0.0,0,0.0,1.0,0.0,2920,0,47.5814,-122.196,2370,8113,1090000,0.0,1.0
104,1.0,0.0,0.0,0,1.0,0.0,0.0,1210,0,47.4375,-122.184,1640,14910,290000,0.0,1.0
105,1.0,0.0,0.0,0,0.0,1.0,0.0,1460,880,47.4431,-122.133,2250,8162,375000,0.0,1.0
106,1.0,0.0,0.0,0,1.0,0.0,0.0,1170,500,47.6878,-122.38,1240,4005,460000,1.0,0.0
107,1.0,0.0,0.0,0,0.0,1.0,0.0,1240,0,47.3813,-122.322,1270,4966,188500,1.0,0.0
108,0.0,1.0,0.0,0,0.0,0.0,1.0,3140,0,47.7304,-122.08200000000001,2990,35001,680000,0.0,1.0
109,0.0,1.0,0.0,0,1.0,0.0,0.0,2030,0,47.6417,-122.109,2500,9433,470000,0.0,1.0
110,0.0,1.0,0.0,0,0.0,1.0,0.0,2310,0,47.5386,-122.053,1940,9636,597750,0.0,1.0
111,1.0,0.0,0.0,0,1.0,0.0,0.0,700,560,47.6823,-122.34899999999999,1380,3536,570000,1.0,0.0
112,1.0,0.0,0.0,0,1.0,0.0,0.0,1160,380,47.3624,-122.031,1540,11656,272500,0.0,1.0
113,1.0,0.0,0.0,2,1.0,0.0,0.0,1080,1000,47.5474,-122.295,2090,5500,329950,1.0,0.0
114,0.0,1.0,0.0,3,0.0,0.0,1.0,2520,710,47.3183,-122.25299999999999,2640,8517,480000,0.0,1.0
115,1.0,0.0,0.0,0,0.0,1.0,0.0,2780,1600,47.6981,-122.368,1830,6350,740500,1.0,0.0
116,1.0,0.0,0.0,0,0.0,1.0,0.0,1590,0,47.6824,-122.34700000000001,1620,3166,518500,1.0,0.0
117,1.0,0.0,0.0,0,1.0,0.0,0.0,880,0,47.5009,-122.24799999999999,1190,6780,205425,1.0,0.0
118,0.0,1.0,0.0,0,1.0,0.0,0.0,1570,0,47.4965,-122.303,1880,9000,171800,1.0,0.0
119,0.0,1.0,0.0,0,1.0,0.0,0.0,1610,0,47.586999999999996,-122.294,1610,4040,535000,1.0,0.0
120,1.0,0.0,0.0,2,0.0,1.0,0.0,1560,840,47.7728,-122.38600000000001,2340,10856,660000,1.0,0.0
121,1.0,0.0,0.0,0,1.0,0.0,0.0,1450,0,47.7288,-122.226,1580,9104,391500,0.0,1.0
122,1.0,0.0,0.0,0,1.0,0.0,0.0,770,0,47.6999,-122.36399999999999,1710,6000,395000,1.0,0.0
123,0.0,1.0,0.0,0,1.0,0.0,0.0,1720,380,47.5299,-122.266,1850,4400,445000,1.0,0.0
124,1.0,0.0,0.0,0,0.0,0.0,1.0,2910,0,47.6897,-122.098,2700,13992,770000,0.0,1.0
125,0.0,1.0,0.0,0,0.0,1.0,0.0,1980,770,47.6141,-122.212,3060,11275,1450000,0.0,1.0
126,1.0,0.0,0.0,2,0.0,1.0,0.0,1620,480,47.5091,-122.244,2660,8712,445000,1.0,0.0
127,0.0,1.0,0.0,0,0.0,1.0,0.0,1360,800,47.3129,-122.39,2090,8400,260000,0.0,1.0
128,0.0,1.0,0.0,0,1.0,0.0,0.0,1720,600,47.6763,-122.352,1700,4960,822500,1.0,0.0
129,0.0,1.0,0.0,0,1.0,0.0,0.0,2070,0,47.5319,-121.85,1970,3748,430000,0.0,1.0
130,1.0,0.0,0.0,0,1.0,0.0,0.0,1060,0,47.2761,-122.152,1420,7680,212000,0.0,1.0
131,0.0,1.0,0.0,0,0.0,1.0,0.0,1440,570,47.5343,-122.054,2060,9793,660500,0.0,1.0
132,1.0,0.0,0.0,0,0.0,0.0,1.0,2460,1490,47.696999999999996,-122.072,2480,88500,784000,0.0,1.0
133,1.0,0.0,0.0,0,0.0,1.0,0.0,1390,620,47.5517,-121.99799999999999,1690,1662,453246,0.0,1.0
134,0.0,1.0,0.0,0,0.0,0.0,1.0,2140,0,47.6734,-122.38,1540,2285,675000,1.0,0.0
135,1.0,0.0,0.0,0,1.0,0.0,0.0,1320,0,47.3257,-122.296,1550,19265,199000,0.0,1.0
136,0.0,1.0,0.0,0,1.0,0.0,0.0,1010,1010,47.3309,-122.29899999999999,1750,8140,220000,0.0,1.0
137,0.0,1.0,0.0,0,0.0,1.0,0.0,1340,1250,47.7689,-122.266,1550,10436,452000,0.0,1.0
138,1.0,0.0,0.0,0,1.0,0.0,0.0,1190,0,47.7135,-122.287,1060,5715,382500,1.0,0.0
139,1.0,0.0,0.0,0,0.0,1.0,0.0,1170,0,47.6722,-122.381,1350,1310,519950,1.0,0.0
140,1.0,0.0,0.0,0,1.0,0.0,0.0,1110,0,47.6338,-122.35799999999999,1170,3600,665000,1.0,0.0
141,0.0,1.0,0.0,0,0.0,1.0,0.0,1550,1270,47.5707,-122.12799999999999,2820,9375,527700,0.0,1.0
142,1.0,0.0,0.0,0,1.0,0.0,0.0,1010,600,47.4563,-122.171,1610,8579,205000,0.0,1.0
143,1.0,0.0,0.0,0,1.0,0.0,0.0,940,120,47.7144,-122.351,1560,7940,420000,1.0,0.0
144,0.0,1.0,0.0,0,0.0,1.0,0.0,1380,650,47.5495,-122.17399999999999,2230,8824,500000,0.0,1.0
145,0.0,1.0,0.0,0,0.0,0.0,1.0,3670,0,47.7421,-122.02600000000001,2840,87991,921500,0.0,1.0
146,0.0,1.0,0.0,0,0.0,1.0,0.0,2370,180,47.6354,-122.353,2200,4000,890000,1.0,0.0
147,1.0,0.0,0.0,0,1.0,0.0,0.0,2420,0,47.5262,-121.943,1940,193842,430000,0.0,1.0
148,0.0,1.0,0.0,0,0.0,1.0,0.0,1130,1130,47.3887,-122.286,1360,18000,258000,0.0,1.0
149,1.0,0.0,0.0,0,1.0,0.0,0.0,980,450,47.6873,-122.336,1450,4599,511000,1.0,0.0
150,1.0,0.0,0.0,0,0.0,1.0,0.0,1360,0,47.6838,-122.353,1500,3090,532170,1.0,0.0
151,1.0,0.0,0.0,0,1.0,0.0,0.0,1110,0,47.655,-122.359,1420,5000,560000,1.0,0.0
152,1.0,0.0,0.0,0,1.0,0.0,0.0,1250,0,47.3255,-122.304,1680,8633,282950,0.0,1.0
153,0.0,1.0,0.0,3,0.0,1.0,0.0,3540,1640,47.562,-122.162,3160,9750,2250000,0.0,1.0
154,1.0,0.0,0.0,0,1.0,0.0,0.0,700,0,47.678999999999995,-122.3,1010,5100,350000,1.0,0.0
155,1.0,0.0,0.0,0,1.0,0.0,0.0,1180,0,47.4479,-122.176,1190,7669,215000,0.0,1.0
156,0.0,1.0,0.0,0,0.0,0.0,1.0,2500,1460,47.525,-122.17200000000001,2640,13675,650000,0.0,1.0
157,0.0,1.0,0.0,0,0.0,1.0,0.0,1620,1020,47.3135,-122.369,1980,7875,320000,0.0,1.0
158,1.0,0.0,0.0,0,1.0,0.0,0.0,1270,0,47.2086,-121.99600000000001,1160,7198,247000,0.0,1.0
159,0.0,1.0,0.0,0,0.0,1.0,0.0,1760,0,47.4715,-122.118,1730,11180,320000,0.0,1.0
160,0.0,1.0,0.0,0,1.0,0.0,0.0,1030,1030,47.4877,-122.335,1010,11680,255000,1.0,0.0
161,1.0,0.0,0.0,0,1.0,0.0,0.0,1780,0,47.7171,-122.193,1200,9660,438000,0.0,1.0
162,1.0,0.0,0.0,0,0.0,0.0,1.0,3400,0,47.6012,-122.023,3400,12601,900000,0.0,1.0
163,1.0,0.0,0.0,0,1.0,0.0,0.0,1160,750,47.7319,-122.22399999999999,1710,8152,441000,0.0,1.0
164,1.0,0.0,0.0,0,1.0,0.0,0.0,1010,1010,47.4582,-122.023,2110,36590,420000,0.0,1.0
165,1.0,0.0,0.0,0,1.0,0.0,0.0,1180,400,47.7209,-122.16799999999999,1640,7500,370000,0.0,1.0
166,1.0,0.0,0.0,0,1.0,0.0,0.0,700,640,47.408,-122.32700000000001,1830,9750,269950,1.0,0.0
167,0.0,1.0,0.0,0,0.0,0.0,1.0,2680,0,47.565,-122.125,2920,4500,807100,0.0,1.0
168,1.0,0.0,0.0,0,0.0,1.0,0.0,1610,1070,47.7028,-122.23100000000001,2480,8750,653000,0.0,1.0
169,1.0,0.0,0.0,0,1.0,0.0,0.0,1370,0,47.7458,-122.331,1770,7288,371500,1.0,0.0
170,1.0,0.0,0.0,0,1.0,0.0,0.0,1560,0,47.4776,-122.337,1070,7920,284000,1.0,0.0
171,1.0,0.0,0.0,0,1.0,0.0,0.0,1670,490,47.3026,-122.374,1930,7350,272000,0.0,1.0
172,1.0,0.0,0.0,0,1.0,0.0,0.0,1340,0,47.7658,-122.339,1480,7940,313000,1.0,0.0
173,0.0,1.0,0.0,0,0.0,0.0,1.0,2570,1310,47.6477,-122.182,3740,35230,917500,0.0,1.0
174,0.0,1.0,0.0,0,0.0,1.0,0.0,2590,0,47.5619,-122.125,2260,8335,673000,0.0,1.0
175,1.0,0.0,0.0,0,0.0,1.0,0.0,820,300,47.6106,-122.31,1590,1795,425000,1.0,0.0
176,0.0,1.0,0.0,0,1.0,0.0,0.0,1320,650,47.5868,-122.30799999999999,1280,2150,399950,1.0,0.0
177,1.0,0.0,0.0,0,1.0,0.0,0.0,1220,0,47.6101,-122.307,1200,4800,385000,1.0,0.0
178,1.0,0.0,0.0,2,1.0,0.0,0.0,1320,630,47.1976,-121.999,1950,8941,269950,0.0,1.0
179,1.0,0.0,0.0,0,1.0,0.0,0.0,1060,290,47.7224,-122.35799999999999,1540,8280,330000,1.0,0.0
180,1.0,0.0,0.0,0,1.0,0.0,0.0,1670,0,47.3505,-122.179,1670,6183,260000,0.0,1.0
181,0.0,1.0,0.0,0,1.0,0.0,0.0,1680,700,47.5384,-122.376,1410,5375,470000,1.0,0.0
182,0.0,1.0,0.0,0,1.0,0.0,0.0,2440,0,47.7044,-122.2,2290,9600,589000,0.0,1.0
183,1.0,0.0,0.0,0,1.0,0.0,0.0,1050,0,47.3848,-122.039,1050,3417,163500,0.0,1.0
184,0.0,1.0,0.0,0,0.0,0.0,1.0,2140,990,47.6993,-122.102,2260,9984,835000,0.0,1.0
185,0.0,1.0,0.0,2,0.0,0.0,1.0,2090,2000,47.6627,-122.18799999999999,2540,10270,1100000,0.0,1.0
186,0.0,1.0,0.0,0,0.0,1.0,0.0,1100,390,47.3099,-122.37899999999999,2190,8910,269000,0.0,1.0
187,1.0,0.0,0.0,0,0.0,1.0,0.0,1900,0,47.62,-122.04299999999999,2030,8744,560000,0.0,1.0
188,0.0,1.0,0.0,0,1.0,0.0,0.0,1330,0,47.65,-122.34,1330,4400,615000,1.0,0.0
189,1.0,0.0,0.0,0,0.0,1.0,0.0,1430,800,47.6647,-122.15299999999999,2230,9340,585188,0.0,1.0
190,1.0,0.0,0.0,0,1.0,0.0,0.0,1220,430,47.726000000000006,-122.191,1540,8400,305000,0.0,1.0
191,1.0,0.0,0.0,0,1.0,0.0,0.0,1190,0,47.4616,-122.184,1230,7980,166950,0.0,1.0
192,1.0,0.0,0.0,0,0.0,1.0,0.0,2140,0,47.5505,-122.219,2680,10083,799000,0.0,1.0
193,1.0,0.0,0.0,0,1.0,0.0,0.0,1420,760,47.7606,-122.336,1900,7818,400000,1.0,0.0
194,1.0,0.0,0.0,0,1.0,0.0,0.0,1060,0,47.7481,-122.3,1570,10228,230000,1.0,0.0
195,1.0,0.0,0.0,0,0.0,1.0,0.0,1690,0,47.2779,-122.34700000000001,2550,5001,256883,0.0,1.0
196,0.0,1.0,0.0,0,1.0,0.0,0.0,1130,840,47.5511,-122.31200000000001,1500,6480,423000,1.0,0.0
197,1.0,0.0,0.0,0,0.0,1.0,0.0,2150,0,47.5488,-122.37200000000001,1750,2385,465000,1.0,0.0
198,1.0,0.0,0.0,0,1.0,0.0,0.0,1910,0,47.5385,-121.911,2330,67268,440000,0.0,1.0
199,1.0,0.0,0.0,0,1.0,0.0,0.0,1350,0,47.4058,-121.994,1560,50965,385000,0.0,1.0
200,1.0,0.0,0.0,0,1.0,0.0,0.0,860,0,47.5093,-122.184,1300,9514,210000,0.0,1.0
201,1.0,0.0,0.0,0,0.0,1.0,0.0,1940,0,47.3777,-122.165,2030,10450,297000,0.0,1.0
202,1.0,0.0,0.0,0,1.0,0.0,0.0,1010,0,47.675,-122.39399999999999,1680,5000,470000,1.0,0.0
203,1.0,0.0,0.0,0,1.0,0.0,0.0,900,400,47.3025,-122.37,1430,7500,226500,0.0,1.0
204,1.0,0.0,0.0,0,1.0,0.0,0.0,910,0,47.4787,-122.15799999999999,1400,8040,274250,0.0,1.0
205,0.0,1.0,0.0,0,0.0,0.0,1.0,1630,850,47.5378,-122.219,2770,10744,840000,0.0,1.0
206,1.0,0.0,0.0,0,0.0,1.0,0.0,2440,0,47.7073,-122.11399999999999,2750,4587,677900,0.0,1.0
207,1.0,0.0,0.0,0,1.0,0.0,0.0,1010,0,47.5733,-122.381,1290,5000,425000,1.0,0.0
208,1.0,0.0,0.0,0,1.0,0.0,0.0,900,0,47.4604,-122.339,1250,14280,180250,1.0,0.0
209,0.0,0.0,1.0,0,1.0,0.0,0.0,1600,700,47.7067,-122.34299999999999,1560,1312,464000,1.0,0.0
210,0.0,1.0,0.0,0,0.0,1.0,0.0,1550,0,47.354,-122.04700000000001,1630,6397,320000,0.0,1.0
211,1.0,0.0,0.0,0,0.0,1.0,0.0,1060,210,47.6647,-122.28399999999999,1160,1327,625504,1.0,0.0
212,0.0,1.0,0.0,0,0.0,0.0,1.0,2240,0,47.6143,-122.01700000000001,2520,12368,592500,0.0,1.0
213,1.0,0.0,0.0,0,0.0,0.0,1.0,2714,0,47.3185,-122.275,2590,18386,465000,0.0,1.0
214,0.0,1.0,0.0,0,0.0,1.0,0.0,1720,0,47.5458,-122.26799999999999,2130,8700,477000,1.0,0.0
215,1.0,0.0,0.0,0,1.0,0.0,0.0,850,0,47.4889,-122.29899999999999,1100,14459,280000,1.0,0.0
216,0.0,1.0,0.0,3,0.0,0.0,1.0,1870,1430,47.5673,-122.21,3836,20953,1510000,0.0,1.0
217,1.0,0.0,0.0,0,0.0,1.0,0.0,2250,0,47.5133,-122.37899999999999,1320,5390,445838,1.0,0.0
218,1.0,0.0,0.0,3,0.0,1.0,0.0,1950,1950,47.5884,-122.291,2580,5184,1070000,1.0,0.0
219,1.0,0.0,0.0,0,0.0,1.0,0.0,1320,0,47.7145,-122.367,2120,12040,467000,1.0,0.0
220,0.0,1.0,0.0,0,0.0,0.0,1.0,2760,0,47.5836,-122.02600000000001,3070,8127,686000,0.0,1.0
221,1.0,0.0,0.0,0,1.0,0.0,0.0,1350,400,47.398,-122.29899999999999,1900,10125,279950,1.0,0.0
222,0.0,1.0,0.0,0,0.0,1.0,0.0,2330,0,47.7663,-122.215,1910,10055,527000,0.0,1.0
223,1.0,0.0,0.0,0,0.0,1.0,0.0,1780,440,47.3758,-122.21700000000001,2080,9583,325000,0.0,1.0
224,1.0,0.0,0.0,0,1.0,0.0,0.0,2020,0,47.3828,-122.023,2020,8031,328000,0.0,1.0
